source,target,tgt_lng
main zipper,主拉链,zh
fly zipper,门襟拉链,zh
invisible zipper,隐形拉链,zh
metal zipper,金属拉链,zh
nylon zipper,尼龙拉链,zh
plastic zipper,塑钢拉链,zh
two way zipper,双开拉链,zh
zip fly,拉链门襟,zh
zip guard,拉链护片,zh
zip garage,拉链护口,zh
zip pocket,拉链袋,zh
zip opening,拉链开口,zh
snap button,四合扣,zh
spring snap,弹簧扣,zh
jean button,牛仔扣,zh
tack button,工字扣,zh
shank button,脚钮,zh
rivet,铆钉,zh
eyelet,鸡眼,zh
grommet,气眼,zh
cord stopper,绳扣,zh
toggle,调节扣,zh
slider,调节扣,zh
d ring,D 字扣,zh
o ring,O 字扣,zh
hook and loop,魔术贴,zh
velcro,魔术贴,zh
hook,钩扣,zh
loop,环扣,zh
adjuster,调节器,zh
suspender buckle,背带扣,zh
bra strap adjuster,肩带调节扣,zh
clear elastic,透明松紧带,zh
rubber tape,橡筋带,zh
silicone tape,硅胶带,zh
stay tape,止口带,zh
frill,荷叶边,zh
ruffle,褶边,zh
lace trim,花边,zh
crochet lace,钩编花边,zh
motif,花片,zh
applique,贴布绣,zh
bead,珠饰,zh
sequin,亮片,zh
rhinestone,烫钻,zh
hotfix,烫贴,zh
foil print,烫金印花,zh
puff print,发泡印花,zh
reflective print,反光印花,zh
silicone print,硅胶印花,zh
high density print,厚板印花,zh
heat seal label,热转印唛,zh
main hangtag,主吊牌,zh
swing tag,吊牌,zh
joker tag,副吊牌,zh
barcode label,条码标签,zh
size strip sticker,尺码条贴,zh
color sticker,色号贴,zh
price sticker,价格贴,zh
polybag warning,胶袋警示语,zh
suffocation warning,窒息警示,zh
desiccant,干燥剂,zh
tissue paper,拷贝纸,zh
silica gel,硅胶包,zh
belly band,腰封,zh
paper sleeve,纸套,zh
box insert,内卡,zh
collar support,领撑,zh
butterfly clip,蝴蝶夹,zh
hanger loop,挂耳,zh
garment bag,成衣袋,zh
recycle logo,回收标识,zh
shipping mark,运输标识,zh
destination label,目的地标签,zh
country sticker,国家贴,zh
assortment sticker,配码贴,zh
carton quantity,装箱数量,zh
pcs per carton,每箱件数,zh
net weight,净重,zh
gross weight,毛重,zh
carton no,箱号,zh
carton size,纸箱尺寸,zh
made in,产地,zh
vendor code,供应商编码,zh
factory code,工厂代码,zh
po number,采购单号,zh
style number,款号,zh
color code,色号,zh
size code,尺码代码,zh
season code,季节代码,zh
division,系列,zh
department,部门,zh
retail ticket,零售价签,zh
security tag,防盗扣,zh
pin tag,别针吊牌,zh
string tag,绳吊牌,zh
pack method,包装方式,zh
flat pack,平装,zh
hanger pack,挂装,zh
roll pack,卷装,zh
vacuum pack,真空包装,zh
bundle pack,成捆包装,zh
assort pack,混装,zh
solid color pack,单色装,zh
garment dimension,成衣尺寸,zh
fold line,折线,zh
folding board,折衣板,zh
presentation,陈列方式,zh
retail ready,零售就绪,zh
shipper,运输外箱,zh
inner pack,内包装,zh
outer carton,外包装箱,zh
pcs,件,zh
set pack,套装包装,zh
pack list,装箱单,zh
packing list,装箱清单,zh
destination carton,目的地外箱,zh
drop test approved,通过跌落测试,zh
hanger size,衣架尺码,zh
hanger color,衣架颜色,zh
folded size,折后尺寸,zh
polybag size,胶袋尺寸,zh
carton seal tape,封箱胶带,zh
shipping carton,运输纸箱,zh
brand sticker,品牌贴纸,zh
logo print,Logo 印花,zh
logo embroidery,Logo 绣花,zh
brand patch,品牌章,zh
back neck tape,后领贴条,zh
locker loop,挂环,zh
cuff tab,袖袢,zh
epaulet,肩袢,zh
waist tie,腰带,zh
self belt,本布腰带,zh
belt loop,腰袢,zh
drawstring channel,抽绳通道,zh
encased elastic,包覆松紧,zh
smocking,抽褶,zh
shirring,抽皱,zh
gathering,抽褶处理,zh
