source,target,tgt_lng
t-shirt,T 恤,zh
t shirt,T 恤,zh
tank top,背心,zh
camisole,吊带背心,zh
blouse,女式衬衫,zh
shirt,衬衫,zh
polo shirt,POLO 衫,zh
sweatshirt,卫衣,zh
hoodie,连帽卫衣,zh
sweater,毛衣,zh
cardigan,开衫,zh
jacket,夹克,zh
blazer,西装外套,zh
coat,大衣,zh
trench coat,风衣,zh
parka,派克大衣,zh
puffer jacket,羽绒棉服,zh
down jacket,羽绒服,zh
windbreaker,风衣夹克,zh
shell jacket,冲锋衣外壳,zh
softshell jacket,软壳夹克,zh
vest,马甲,zh
waistcoat,马甲,zh
dress,连衣裙,zh
shirt dress,衬衫裙,zh
wrap dress,裹身裙,zh
slip dress,吊带裙,zh
maxi dress,长款连衣裙,zh
midi dress,中长款连衣裙,zh
mini dress,短款连衣裙,zh
skirt,半身裙,zh
pencil skirt,铅笔裙,zh
a-line skirt,A 字裙,zh
pleated skirt,百褶裙,zh
skort,裙裤,zh
pants,裤子,zh
trousers,长裤,zh
jeans,牛仔裤,zh
chino pants,斜纹棉布裤,zh
cargo pants,工装裤,zh
jogger pants,束脚裤,zh
leggings,打底裤,zh
shorts,短裤,zh
bermuda shorts,百慕大短裤,zh
jumpsuit,连体裤,zh
romper,连体短裤,zh
bodysuit,连体衣,zh
swimsuit,泳衣,zh
bikini,比基尼,zh
bra,文胸,zh
briefs,三角内裤,zh
bomber jacket,飞行夹克,zh
field jacket,野战夹克,zh
utility jacket,多口袋夹克,zh
shacket,衬衫式夹克,zh
anorak,套头风衣,zh
gilet,马甲,zh
culottes,阔腿裙裤,zh
palazzo pants,宽腿裤,zh
track pants,运动长裤,zh
track jacket,运动夹克,zh
base layer,贴身层,zh
mid layer,中间层,zh
outer layer,外层,zh
slim fit,修身版型,zh
regular fit,常规版型,zh
classic fit,经典版型,zh
relaxed fit,宽松版型,zh
loose fit,宽松版型,zh
oversized fit,超宽松版型,zh
boxy fit,箱型版型,zh
tailored fit,合体剪裁,zh
straight fit,直筒版型,zh
skinny fit,紧身版型,zh
tapered fit,锥形版型,zh
athletic fit,运动版型,zh
comfort fit,舒适版型,zh
compression fit,压缩版型,zh
bodycon fit,包身版型,zh
cropped fit,短款版型,zh
longline fit,长款版型,zh
bootcut,微喇裤型,zh
flared leg,喇叭裤腿,zh
wide leg,阔腿,zh
straight leg,直筒裤腿,zh
tapered leg,锥形裤腿,zh
cropped length,短截长度,zh
ankle length,九分长度,zh
full length,全长,zh
high waisted,高腰,zh
mid rise,中腰,zh
low rise,低腰,zh
high rise,高腰,zh
drop crotch,低裆,zh
a-line silhouette,A 字廓形,zh
h-line silhouette,H 型廓形,zh
x-line silhouette,X 型廓形,zh
cocoon silhouette,茧型廓形,zh
trapeze silhouette,梯形廓形,zh
fit and flare,收腰伞摆,zh
bodycon,包身,zh
wrap front,裹身前片,zh
empire line,高腰线,zh
peplum silhouette,荷叶腰摆廓形,zh
color block,拼色,zh
cut out,镂空,zh
asymmetrical hem,不对称下摆,zh
hi-low hem,前短后长下摆,zh
curved hem,弧形下摆,zh
scalloped hem,贝壳边下摆,zh
pattern,纸样,zh
paper pattern,纸样,zh
block pattern,基础纸样,zh
base pattern,基础纸样,zh
production pattern,大货纸样,zh
sample pattern,样衣纸样,zh
graded pattern,放码纸样,zh
marker making,排唛架,zh
pattern piece,纸样片,zh
pattern block,纸样板,zh
sloper,原型纸样,zh
toile,白坯样衣,zh
muslin sample,白坯样衣,zh
fit model,试身模特,zh
dress form,立裁人台,zh
mannequin,人台,zh
ease,松量,zh
wearing ease,穿着松量,zh
design ease,设计松量,zh
negative ease,负松量,zh
seam line,缝线,zh
grainline,经纱线,zh
center line,中心线,zh
balance notch,平衡剪口,zh
drill hole,定位孔,zh
dart intake,省量,zh
dart point,省尖,zh
fold line,折线,zh
cut on fold,对折裁剪,zh
bias cut,斜裁,zh
on grain,顺丝绺,zh
off grain,斜丝绺,zh
fabric grain,布纹方向,zh
nap direction,毛向,zh
directional print,方向性印花,zh
one way print,单向印花,zh
mirrored pair,镜像成对,zh
left and right pair,左右成对,zh
long sleeve tee,长袖 T 恤,zh
short sleeve tee,短袖 T 恤,zh
crop top,短款上衣,zh
tube top,抹胸上衣,zh
halter top,挂脖上衣,zh
henley,亨利衫,zh
rugby shirt,橄榄球衫,zh
overshirt,外穿衬衫,zh
chore jacket,工装夹克,zh
pea coat,海军呢大衣,zh
duffle coat,牛角扣大衣,zh
raincoat,雨衣,zh
ski jacket,滑雪夹克,zh
fleece jacket,抓绒夹克,zh
quilted jacket,绗缝夹克,zh
suit jacket,西装上衣,zh
suit pants,西裤,zh
tailored trousers,西装裤,zh
wide leg pants,阔腿裤,zh
flare pants,喇叭裤,zh
straight jeans,直筒牛仔裤,zh
skinny jeans,紧身牛仔裤,zh
mom jeans,妈妈牛仔裤,zh
boyfriend jeans,男友风牛仔裤,zh
denim skirt,牛仔裙,zh
slip skirt,吊带裙,zh
wrap skirt,裹身裙,zh
cargo skirt,工装裙,zh
easy fit,舒适版型,zh
roomy fit,宽裕版型,zh
fitted silhouette,合身廓形,zh
semi fitted,半合身,zh
relaxed silhouette,宽松廓形,zh
oversized silhouette,超宽松廓形,zh
long torso,长身型,zh
petite fit,小码版型,zh
nested pattern,套码纸样,zh
digital pattern,电子纸样,zh
pattern amendment,纸样修改,zh
pattern revision,纸样修订,zh
seam allowance added,已加缝份,zh
notches aligned,剪口对齐,zh
grainline direction,丝绺方向,zh
fold placement,折线位置,zh
marker width,唛架宽度,zh
marker length,唛架长度,zh
fabric utilization,用布率,zh
cuttable width,可裁幅宽,zh
